id,category,description,location,danger_score,health_risk,environment_damage,infrastructure_damage,fire_risk,flooding_indicator,urgency_keywords_score,human_harm_risk
1,Flooding,"Street flooded after heavy rain, blocking movement.",Abule Egba,0.89,0.28,0.87,0.62,0.76,0.24,0.11,0.26
2,Fire Hazard,Smoke coming from abandoned structure.,Ogba,0.48,0.15,0.35,0.41,0.69,0.68,0.23,0.95
3,Street Light Fault,Street light not working for 2 weeks.,Badagry,0.95,0.27,0.33,0.57,0.53,0.36,0.98,0.56
4,Road Damage,Damaged road making it difficult for vehicles to pass.,Ajah,0.97,0.14,0.8,0.48,0.11,0.4,0.88,0.73
5,Road Damage,Large pothole causing traffic buildup.,Badagry,0.76,0.29,0.75,0.64,0.56,0.85,0.54,0.31
6,Flooding,Floodwater entering shops and houses.,Badagry,0.47,0.36,0.24,0.72,0.49,0.24,0.63,0.87
7,Electricity Outage,Transformer sparking and making noise.,Surulere,0.8,0.28,0.56,0.5,0.11,0.29,0.79,0.26
8,Blocked Drainage,Drainage filled with plastic waste.,Surulere,0.13,0.76,0.6,0.18,0.12,0.81,0.56,0.51
9,Electricity Outage,Transformer sparking and making noise.,Abule Egba,0.15,0.89,0.22,0.24,0.72,0.64,0.72,0.88
10,Waste Management,Garbage not collected for over a week.,Badagry,0.96,0.6,0.29,0.86,0.71,0.67,0.82,0.53
11,Street Light Fault,Street light not working for 2 weeks.,Yaba,0.7,0.57,0.75,0.84,0.6,0.98,0.11,0.76
12,Road Damage,Large pothole causing traffic buildup.,Ikeja,0.19,0.46,0.25,0.79,0.53,0.11,0.54,0.66
13,Environmental Pollution,Oil spill contaminating the ground.,Abule Egba,0.49,0.58,0.6,0.83,0.12,0.95,0.2,0.34
14,Street Light Fault,Completely dark area at night due to faulty light.,Lekki,0.32,0.32,0.43,0.48,0.51,0.34,0.32,0.49
15,Security Issue,Area experiencing constant theft at night.,Lekki,0.47,0.56,0.51,0.86,0.99,0.73,0.82,0.71
16,Road Damage,Damaged road making it difficult for vehicles to pass.,Festac,0.17,0.27,0.27,0.49,0.59,0.45,0.72,0.31
17,Road Damage,Damaged road making it difficult for vehicles to pass.,Agege,0.67,0.5,0.52,0.6,0.11,0.64,0.62,0.17
18,Street Light Fault,Street light not working for 2 weeks.,Lekki,0.36,0.26,0.99,0.63,0.9,0.92,0.81,0.99
19,Environmental Pollution,Burning refuse causing air pollution.,Victoria Island,0.65,0.39,0.96,0.67,0.8,0.52,0.8,0.57
20,Security Issue,Suspicious gang movement reported.,Berger,0.94,0.13,0.77,0.79,0.38,0.94,0.84,0.22
21,Water Leakage,Water leakage causing erosion.,Badagry,0.59,0.61,0.99,0.14,0.63,0.82,0.48,0.33
22,Waste Management,Overflowing waste bins causing smell and flies.,Festac,0.64,0.83,0.8,0.72,0.77,0.78,0.13,0.49
23,Flooding,"Street flooded after heavy rain, blocking movement.",Surulere,0.7,0.4,0.8,0.26,0.62,0.62,0.86,0.47
24,Waste Management,Garbage not collected for over a week.,Berger,0.86,0.21,0.42,0.53,0.41,0.13,0.33,0.7
25,Street Light Fault,Street light not working for 2 weeks.,Surulere,0.54,0.8,0.63,0.8,0.46,0.47,0.37,0.89
26,Road Damage,Damaged road making it difficult for vehicles to pass.,Ikeja,0.59,0.56,0.23,0.52,0.6,0.78,0.41,0.45
27,Street Light Fault,Street light not working for 2 weeks.,Ajah,0.65,0.18,0.56,0.66,0.58,0.19,0.79,0.89
28,Flooding,Severe flooding due to blocked drainage.,Berger,0.93,0.65,0.3,0.93,0.6,0.5,0.96,0.11
29,Blocked Drainage,Drainage filled with plastic waste.,Badagry,0.48,0.98,0.52,0.24,0.66,0.15,0.73,0.63
